text,label
"t nhà đã gặp trải nghiệm rất tệ với ship đồ ăn vào sáng nay, tính phí vô lý 😡",negative
"Bọn mình đã gặp trải nghiệm rất tệ với giảng viên vào sáng nay, hủy đơn vô cớ 😤",negative
"Bọn mình đã gặp trải nghiệm dở tệ vl với thiết bị vào hôm nay, tính phí vô lý… ^^",negative
"Tui đã gặp trải nghiệm chán đời với đồ ăn vào hôm qua, cúp máy 🫠",negative
"Chúng tôi đã gặp trải nghiệm gian lận với ship đồ ăn vào tối qua, hủy đơn vô cớ",negative
"T nhà đã gặp trải nghiệm cực tệ với nhà hàng vào tối qua, chửi khách",negative
"bọn mình đã gặp trải nghiệm chán với chuyến bay vào vừa xong, trì hoãn liên tục 🤦",negative
"T nhà đã gặp trải nghiệm quá chán với siêu thị vào tuần trước, chửi khách 🤦",negative
"T nhà đã gặp trải nghiệm dở ẹc với bệnh viện vào hôm nay, chửi khách! :v",negative
"Tui đã gặp trải nghiệm ko ổn xíu nào với laptop vào mới đây, không tôn trọng khách ^^",negative
"Chúng tôi đã gặp trải nghiệm đùa à với ứng dụng vào mới đây, không cho đổi trả 👎 :)",negative
"Mình đã gặp trải nghiệm hết hồn luôn với siêu thị vào hôm qua, không cho đổi trả 😭",negative
"Tôi đã gặp trải nghiệm hết hồn luôn với ship đồ ăn vào tối qua, phớt lờ góp ý!!!",negative
"T nhà đã gặp trải nghiệm toang thật sự với ứng dụng vào hôm qua, đi trễ!! ^^",negative
"Chúng tôi đã gặp trải nghiệm xàm ghê với trường vào lúc 8h, không hỗ trợ 🫠",negative
"Tôi đã gặp trải nghiệm mệt mỏi ghê với bảo hành vào hôm qua, hủy đơn vô cớ",negative
"Mình đã gặp trải nghiệm bó tay với ngân hàng vào tuần trước, không tôn trọng khách 🥵",negative
"T nhà đã gặp trải nghiệm dở òm với điện thoại vào mới đây, làm việc cho có lệ",negative
"Tôi đã gặp trải nghiệm khó chịu với bảo hành vào vừa xong, hủy đơn vô cớ 💢",negative
"Mình đã gặp trải nghiệm cực tệ với nhà hàng vào hôm qua, không hỗ trợ 🤦 ^^",negative
"Chúng tôi đã gặp trải nghiệm phiền phức với shipper vào mới đây, không tôn trọng khách 😡",negative
"t nhà đã gặp trải nghiệm hết hồn luôn với môn học vào hôm nay, giao sai hàng 🫠 ^^",negative
"Bọn mình đã gặp trải nghiệm tệ vcl với ngân hàng vào tối qua, đi trễ 😡! :v",negative
"Tôi đã gặp trải nghiệm chán với bảo hành vào lúc 8h, không cho đổi trả 🥵 :)",negative
"Tui đã gặp trải nghiệm lag với đơn hàng vào lúc 8h, không cho đổi trả 🤦!",negative
"t nhà đã gặp trải nghiệm dở ẹc với bệnh viện vào lúc 8h, không trả lời tin nhắn 👎!",negative
"Tôi đã gặp trải nghiệm lừa đảo với bảo hành vào sáng nay, giao sai hàng 😤",negative
"Chúng tôi đã gặp trải nghiệm rườm rà với bệnh viện vào vừa xong, mang thái độ 🥵!!!",negative
"Tôi đã gặp trải nghiệm vô lý vãi với trường vào hôm qua, giao sai hàng 🤦!!!",negative
"Tui đã gặp trải nghiệm chán với website vào tối qua, tự ý đổi lịch 😤",negative
"Tôi đã gặp trải nghiệm rườm rà với ngân hàng vào hôm qua, giao sai hàng!!!",negative
"Mình đã gặp trải nghiệm toang thật sự với ứng dụng vào tối qua, không tôn trọng khách =))",negative
"tôi đã gặp trải nghiệm bực mình với trường vào tối qua, nói chuyện như quát 😭",negative
"Tôi đã gặp trải nghiệm quá chán với cửa hàng vào vừa xong, không trả lời tin nhắn 👎! :)",negative
"Mình đã gặp trải nghiệm bó tay với bảo hành vào vừa xong, giao sai hàng",negative
"Mình đã gặp trải nghiệm chán với bảo hành vào mới đây, đi trễ 🫠",negative
"T nhà đã gặp trải nghiệm chậm chạp với bảo hành vào hôm qua, đi trễ 😤 =))",negative
"Mình đã gặp trải nghiệm rất tệ với thiết bị vào mới đây, mang thái độ 😡",negative
"T nhà đã gặp trải nghiệm rất tệ với phòng khám vào tối qua, giao sai hàng 🤦… :(",negative
"chúng tôi đã gặp trải nghiệm gian lận với ship đồ ăn vào tối qua, mang thái độ 🥵!!",negative
"T nhà đã gặp trải nghiệm fail toàn tập với phòng khám vào hôm qua, không hỗ trợ!!!",negative
"T nhà đã gặp trải nghiệm ức chế vl với website vào sáng nay, nói chuyện như quát 🥵",negative
"Tui đã gặp trải nghiệm ức chế vl với du lịch vào tối qua, bắt khách đợi cả tiếng 🥵",negative
"Bọn mình đã gặp trải nghiệm hết hồn luôn với bưu điện vào lúc 8h, mang thái độ",negative
"Tui đã gặp trải nghiệm bó tay với tổng đài vào hôm qua, không hỗ trợ",negative
"Mình đã gặp trải nghiệm rất tệ với cửa hàng vào sáng nay, không trả lời tin nhắn",negative
"T nhà đã gặp trải nghiệm dở òm với điện thoại vào lúc 8h, cúp máy 👎 :)",negative
"Mình đã gặp trải nghiệm phèn quá với thương mại điện tử vào lúc 8h, không xin lỗi 💢 ^^",negative
"T nhà đã gặp trải nghiệm ức chế vl với nhân viên vào lúc 8h, không hỗ trợ 🥵",negative
"T nhà đã gặp trải nghiệm dở tệ vl với shipper vào sáng nay, tính phí vô lý…",negative
"tôi đã gặp trải nghiệm phiền phức với website vào vừa xong, tính phí vô lý 😡!!",negative
"Mình đã gặp trải nghiệm phí tiền với nhà hàng vào vừa xong, không cho đổi trả 🥵…",negative
"T nhà đã gặp trải nghiệm mệt mỏi ghê với khoa vào lúc 8h, cúp máy 🫠…",negative
"Bọn mình đã gặp trải nghiệm cùi bắp quá với thiết bị vào tối qua, chửi khách 😤…",negative
"Mình đã gặp trải nghiệm lừa đảo với khoa vào hôm qua, bắt khách đợi cả tiếng 👎 :(",negative
"Mình đã gặp trải nghiệm vỡ mộng với đơn hàng vào mới đây, không hỗ trợ 🥵!",negative
"Tôi đã gặp trải nghiệm khó chịu với bác sĩ vào hôm nay, hủy đơn vô cớ :)",negative
"Mình đã gặp trải nghiệm nản thiệt với ngân hàng vào sáng nay, giao sai hàng 🤦 :v",negative
"T nhà đã gặp trải nghiệm chán với ship đồ ăn vào hôm qua, làm việc cho có lệ 🤦",negative
"t nhà đã gặp trải nghiệm kinh khủng với điện thoại vào hôm qua, chửi khách 🤦",negative
"Chúng tôi đã gặp trải nghiệm thái độ kém với giảng viên vào mới đây, phớt lờ góp ý 😡 =))",negative
"Tôi đã gặp trải nghiệm thiên vị với giao hàng vào tuần trước, tự ý đổi lịch 🤦",negative
"Bọn mình đã gặp trải nghiệm k hiểu nổi với giao hàng vào vừa xong, tính phí vô lý =))",negative
"Bọn mình đã gặp trải nghiệm bực mình với khách sạn vào lúc 8h, bắt khách đợi cả tiếng!!",negative
"Tui đã gặp trải nghiệm ức chế vl với app vào sáng nay, bắt khách đợi cả tiếng 🥵!!",negative
"Bọn mình đã gặp trải nghiệm rất tệ với bưu điện vào tối qua, hủy đơn vô cớ 💢!!!",negative
"Bọn mình đã gặp trải nghiệm thái độ kém với phòng khám vào tối qua, tự ý đổi lịch 💢!!",negative
"T nhà đã gặp trải nghiệm chán ngán với thương mại điện tử vào lúc 8h, mang thái độ 🤦",negative
"tui đã gặp trải nghiệm toang với thương mại điện tử vào tuần trước, bắt khách đợi cả tiếng 😤",negative
"bọn mình đã gặp trải nghiệm tệ với đồ ăn vào lúc 8h, làm việc cho có lệ 🫠! =))",negative
"Tôi đã gặp trải nghiệm cùi bắp quá với du lịch vào hôm nay, hủy đơn vô cớ 🤦!! =))",negative
"chúng tôi đã gặp trải nghiệm lag vãi với thiết bị vào lúc 8h, cúp máy… :v",negative
"T nhà đã gặp trải nghiệm cùi bắp với đồ ăn vào tối qua, mang thái độ 👎! =))",negative
"Chúng tôi đã gặp trải nghiệm lag với shipper vào sáng nay, không trả lời tin nhắn 🤦",negative
"Tui đã gặp trải nghiệm tệ vcl với điện thoại vào sáng nay, giao sai hàng 🤦 ^^",negative
"Chúng tôi đã gặp trải nghiệm dở tệ vl với website vào lúc 8h, giao sai hàng 🥵",negative
"Tôi đã gặp trải nghiệm tệ vcl với giảng viên vào tối qua, không hỗ trợ 💢",negative
"Tôi đã gặp trải nghiệm mệt mỏi ghê với app vào tuần trước, không trả lời tin nhắn 😭 :v",negative
"Bọn mình đã gặp trải nghiệm nản thiệt với quán ăn vào mới đây, trì hoãn liên tục 😡",negative
"T nhà đã gặp trải nghiệm ức chế vl với du lịch vào lúc 8h, không trả lời tin nhắn 🤦…",negative
